Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
腾祥嘉丽线黑繁 (ExtraLight),腾祥嘉丽线黑繁,ExtraLight,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥嘉丽线黑简 (ExtraLight),腾祥嘉丽线黑简,ExtraLight,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥嘉丽线黑日文版 (ExtraLight),腾祥嘉丽线黑日文版,ExtraLight,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28538,28538
腾祥嘉丽中黑GB18030 (Regular),腾祥嘉丽中黑GB18030,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28673,28673
腾祥嘉丽中黑繁 (Regular),腾祥嘉丽中黑繁,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),30,7608,7608
腾祥嘉丽中黑简 (Regular),腾祥嘉丽中黑简,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),30,7608,7608
腾祥嘉丽中黑日文版 (Regular),腾祥嘉丽中黑日文版,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28673,28673
腾祥嘉丽中黑台湾版 (Regular),腾祥嘉丽中黑台湾版,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28673,28673
腾祥嘉丽中圆GB3 (Regular),腾祥嘉丽中圆GB3,Regular,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),36,28538,28538
腾祥嘉丽中圆繁 (Regular),腾祥嘉丽中圆繁,Regular,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),30,7599,7599
腾祥嘉丽中圆简 (Regular),腾祥嘉丽中圆简,Regular,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),30,7599,7599
腾祥嘉丽中圆台湾版 (Regular),腾祥嘉丽中圆台湾版,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28538,28538
腾祥嘉丽准粗圆GB18030 (Bold),腾祥嘉丽准粗圆GB18030,Bold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28538,28538
腾祥嘉丽准粗圆繁 (Bold),腾祥嘉丽准粗圆繁,Bold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥嘉丽准粗圆简 (Bold),腾祥嘉丽准粗圆简,Bold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥金砖黑繁 (Medium),腾祥金砖黑繁,Medium,,,Version 1.02,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥金砖黑简 (Medium),腾祥金砖黑简,Medium,,,Version 1.02,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥孔淼卡通繁 (Regular),腾祥孔淼卡通繁,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥孔淼卡通简 (Regular),腾祥孔淼卡通简,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥孔淼石头繁 (Medium),腾祥孔淼石头繁,Medium,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥孔淼石头简 (Medium),腾祥孔淼石头简,Medium,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥澜黑简 (Bold),腾祥澜黑简,Bold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥凌黑简 (Bold),腾祥凌黑简,Bold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥麦黑简 (Medium),腾祥麦黑简,Medium,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7606,7607
腾祥魅黑简 (Bold),腾祥魅黑简,Bold,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥铭刻体繁 (Regular),腾祥铭刻体繁,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7596,7597
腾祥铭刻体简 (Regular),腾祥铭刻体简,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7596,7597
腾祥倩女繁 (Regular),腾祥倩女繁,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥倩女简 (Regular),腾祥倩女简,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥倩心繁 (Regular),腾祥倩心繁,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥倩心简 (Regular),腾祥倩心简,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥倩影繁 (Regular),腾祥倩影繁,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥倩影简 (Regular),腾祥倩影简,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥沁圆简-W1,腾祥沁圆简-W1,Light,,,Version  1.02,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥沁圆简-W2,腾祥沁圆简-W2,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥沁圆简-W3,腾祥沁圆简-W3,Medium,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥沁圆简-W4,腾祥沁圆简-W4,Bold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7598
腾祥沁圆简-W5,腾祥沁圆简-W5,Bold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥睿黑简-W1,腾祥睿黑简-W1,Extra Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥睿黑简-W2,腾祥睿黑简-W2,Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥睿黑简-W3,腾祥睿黑简-W3,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥睿黑简-W4,腾祥睿黑简-W4,Medium,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥睿黑简-W5,腾祥睿黑简-W5,Bold,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥睿黑简-W6,腾祥睿黑简-W6,Extra Bold,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥铁山楷书繁 (Regular),腾祥铁山楷书繁,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7606,7607
腾祥铁山楷书简 (Regular),腾祥铁山楷书简,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7596,7597
腾祥铁山硬隶繁 (Regular),腾祥铁山硬隶繁,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥铁山硬隶简 (Regular),腾祥铁山硬隶简,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥细潮黑简 (Bold),腾祥细潮黑简,Bold,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥细潮圆简 (Bold),腾祥细潮圆简,Bold,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥相思体繁 (Light),腾祥相思体繁,Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥相思体简 (Light),腾祥相思体简,Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥小小新体繁 (Regular),腾祥小小新体繁,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥小小新体简 (Regular),腾祥小小新体简,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥小新体繁 (Regular),腾祥小新体繁,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥小新体简 (Regular),腾祥小新体简,Regular,,,Version 1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7597,7597
腾祥铚谦钢笔繁 (Regular),腾祥铚谦钢笔繁,Regular,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),30,7600,7601
腾祥铚谦钢笔简 (Regular),腾祥铚谦钢笔简,Regular,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),30,7599,7600
腾祥铚谦隶书繁 (Regular),腾祥铚谦隶书繁,Regular,,,Version 1.02,TT  ,Regular,5 (Medium),400 (Normal),29,7599,7599
腾祥铚谦隶书简 (Regular),腾祥铚谦隶书简,Regular,,,Version 1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥铚谦幼儿简 (Regular),腾祥铚谦幼儿简,Regular,,,Version  1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7598,7598
腾祥智黑GB18030-W1 (Extra Light),腾祥智黑GB18030-W1,Extra Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28622,28622
腾祥智黑GB18030-W2 (Light),腾祥智黑GB18030-W2,Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28621,28621
腾祥智黑GB18030-W3 (Regular),腾祥智黑GB18030-W3,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28610,28610
腾祥智黑GB18030-W4 (Medium),腾祥智黑GB18030-W4,Medium,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),36,28611,28611
腾祥智黑繁-W1 (Extra Light),腾祥智黑繁-W1,Extra Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),30,7609,7609
腾祥智黑繁-W2 (Light),腾祥智黑繁-W2,Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),30,7609,7609
腾祥智黑繁-W3 (Regular),腾祥智黑繁-W3,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),30,7609,7609
腾祥智黑繁-W4 (Medium),腾祥智黑繁-W4,Medium,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),30,7609,7609
腾祥智黑简-W1,腾祥智黑简-W1,Extra Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥智黑简-W2,腾祥智黑简-W2,Light,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥智黑简-W3,腾祥智黑简-W3,Regular,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥智黑简-W4,腾祥智黑简-W4,Medium,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥智黑简-W5,腾祥智黑简-W5,Bold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥智黑简-W6,腾祥智黑简-W6,ExtraBold,,,Version  1.00,TT  ,Regular,5 (Medium),400 (Normal),29,7607,7607
腾祥銍谦幼儿繁 (Regular),腾祥銍谦幼儿繁,Regular,,,Version 1.01,TT  ,Regular,5 (Medium),400 (Normal),29,7599,7599
